Наименование олимпиады;№ в перечне;Профиль;Предмет;Уровень
Многопредметная олимпиада «Юные таланты»;35;география;география;1
Московская олимпиада школьников;37;география;география;1
Олимпиада школьников «Ломоносов»;48;география;география;1
Олимпиада школьников Санкт-Петербургского государственного университета;58;география;география;1
Всероссийская олимпиада школьников «Высшая проба»;8;география;география;2
Герценовская олимпиада школьников;16;география;география;2
Олимпиада школьников «Покори Воробьевы горы!»;50;география;география;2
Всероссийская междисциплинарная олимпиада школьников «Национальная технологическая олимпиада»;6;Многопрофильная;Межпредметная;3
